Participant,OpenBCI Offset (sec),Experiment Start,Stroop Task Start,Stroop Task End,Experiment End,Annotate1_Start,Annotate1_End,Annotate2_Start,Annotate2_End,Duration
heidi_1,61.89,82.207281,71.2104519,150.4647962,154.6809589,87.207281,89.707281,94.707281,97.207281,92.7909589
heidi_2,38.3,60.3746604,62.3197226,127.7093377,134.0750727,65.3746604,67.8746604,72.8746604,75.3746604,95.7750727
heidi_3,32.06,51.8308411,53.6400425,121.5126776,124.7787594,56.8308411,59.3308411,64.3308411,66.8308411,92.7187594
heidi_4,26.49,46.3986971,54.7129638,116.8197778,119.8696417,51.3986971,53.8986971,58.8986971,61.3986971,93.3796417
heidi_5,21.71,38.9400288,50.3929478,109.750299,113.0497399,43.9400288,46.4400288,51.4400288,53.9400288,91.3397399
avni_1,91.07,119.1833965,168.4733218,248.0614137,266.8238973,124.1833965,126.6833965,131.6833965,134.1833965,175.7538973
avni_2,63.96,109.6164101,145.4432741,211.7507169,216.5099996,114.6164101,117.1164101,122.1164101,124.6164101,152.5499996
avni_3,52.24,92.3320406,127.8836398,166.496,166.496,97.3320406,99.8320406,104.8320406,107.3320406,114.256
avni_4,49.11,84.5737329,117.5907474,181.7790422,185.5909887,89.5737329,92.0737329,97.0737329,99.5737329,136.4809887
avni_5,42.06,78.0275592,111.4542802,172.3529189,176.5055449,83.0275592,85.5275592,90.5275592,93.0275592,134.4455449
nabeha_1,33.95,56.6031814,69.2182281,134.6747537,146.1235613,61.6031814,64.1031814,69.1031814,71.6031814,112.1735613
nabeha_2,45.96,73.2019309,72.7001782,123.4590636,130.825107,78.2019309,80.7019309,85.7019309,88.2019309,84.865107
nabeha_3,53.78,72.4960999,59.734629,115.6088979,121.8914263,77.4960999,79.9960999,84.9960999,87.4960999,68.1114263
nabeha_4,42.21,67.1485198,74.2747255,127.749871,133.8155368,72.1485198,74.6485198,79.6485198,82.1485198,91.6055368
nabeha_5,34.73,61.0916142,70.9235053,121.7825847,129.1139938,66.0916142,68.5916142,73.5916142,76.0916142,94.3839938
