word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,45.65641010000036,75.6180086000004,75.66786580000007,76.11890780000067,76.11890780000067,76.11890780000067,space,4.843380799999068,,,,,,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
RED,red,1,left,0,0,0,0,,,,,,,,,81.48327410000002,81.48327410000002,right,0,1.1998710999996547,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
YELLOW,blue,0,right,0,1,1,11,,,,,,,,,83.19969690000016,83.19969690000016,up,0,1.2450934999988021,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
RED,yellow,0,up,0,2,2,2,,,,,,,,,84.96637050000027,84.96637050000027,right,0,1.0068986999995104,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
RED,blue,0,right,0,3,3,3,,,,,,,,,86.4988744000002,86.4988744000002,right,1,0.5922722999994221,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
YELLOW,red,0,left,0,4,4,10,,,,,,,,,87.61508959999992,87.61508959999992,up,0,0.5472289999988789,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
YELLOW,yellow,1,up,0,5,5,8,,,,,,,,,88.68264200000067,88.68264200000067,up,1,0.525511999999253,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
BLUE,red,0,left,0,6,6,5,,,,,,,,,89.73119760000009,89.73119760000009,left,1,0.7750355999987733,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
GREEN,red,0,left,0,7,7,15,,,,,,,,,91.03108770000017,91.03108770000017,down,0,1.1083164999990913,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
RED,green,0,down,0,8,8,1,,,,,,,,,92.6639640000003,92.6639640000003,right,0,1.272821199999271,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
