word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,35.46373289999974,65.4497008999997,65.4648930000003,65.96622669999942,65.96622669999942,space,1.9940090000000055,,,,,,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,green,0,down,0,0,0,9,,,,,,,,68.48074739999993,68.48074739999993,up,0,0.722501000000193,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,green,1,down,0,1,1,14,,,,,,,,69.73016060000009,69.73016060000009,down,1,0.6051734999991822,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,red,1,left,0,2,2,0,,,,,,,,70.86353839999992,70.86353839999992,left,1,0.6929511999996976,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,green,0,down,0,3,3,1,,,,,,,,72.07988959999966,72.07988959999966,right,0,0.9710919999997714,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,yellow,0,up,0,4,4,2,,,,,,,,73.57974560000002,73.57974560000002,right,0,0.4702962999999727,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,blue,0,right,0,5,5,3,,,,,,,,74.5793665000001,74.5793665000001,right,1,0.5019345000000612,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,red,0,left,0,6,6,10,,,,,,,,75.61231459999999,75.61231459999999,up,0,0.7049529999994775,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,yellow,0,up,0,7,7,7,,,,,,,,76.8465927999996,76.8465927999996,left,0,2.087647199999992,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,yellow,0,up,0,8,8,12,,,,,,,,79.46143719999964,79.46143719999964,down,0,1.5517546000000948,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,blue,0,right,0,9,9,11,,,,,,,,81.52749390000008,81.52749390000008,up,0,0.7534636999998838,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,green,0,down,0,10,10,4,,,,,,,,82.81059649999952,82.81059649999952,left,0,0.9307164000001649,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,blue,1,right,0,11,11,6,,,,,,,,84.2601679999998,84.2601679999998,right,1,0.7670910999995613,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,red,0,left,0,12,12,5,,,,,,,,85.54355899999973,85.54355899999973,right,0,0.4426827000006597,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,blue,0,right,0,13,13,13,,,,,,,,86.50996719999966,86.50996719999966,down,0,1.244294500000251,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,yellow,1,up,0,14,14,8,,,,,,,,88.25939879999987,88.25939879999987,up,1,0.5118558000003759,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,red,0,left,0,15,15,15,,,,,,,,89.29252859999997,89.29252859999997,down,0,0.8703319000005649,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,blue,0,right,1,0,16,3,,,,,,,,90.69232620000002,90.69232620000002,right,1,1.2011475999997856,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,yellow,0,up,1,1,17,12,,,,,,,,92.42525680000017,92.42525680000017,down,0,0.7994079000000056,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,red,0,left,1,2,18,10,,,,,,,,93.74145260000023,93.74145260000023,up,0,0.5964309999999386,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,red,1,left,1,3,19,0,,,,,,,,94.8575707,94.8575707,right,0,0.6977241000004142,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,yellow,0,up,1,4,20,2,,,,,,,,96.07404810000025,96.07404810000025,right,0,0.6102871999992203,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,blue,1,right,1,5,21,6,,,,,,,,97.20726420000028,97.20726420000028,left,0,0.6129688999999416,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,green,0,down,1,6,22,4,,,,,,,,98.3401802999997,98.3401802999997,left,0,0.41106000000036147,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,green,0,down,1,7,23,1,,,,,,,,99.27339779999966,99.27339779999966,right,0,0.8005312000004778,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,yellow,1,up,1,8,24,8,,,,,,,,100.58959140000024,100.58959140000024,up,1,0.7407158999994863,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,red,0,left,1,9,25,15,,,,,,,,101.8564035999998,101.8564035999998,down,0,0.5521867999996175,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,blue,0,right,1,10,26,13,,,,,,,,102.93910359999973,102.93910359999973,down,0,0.5817303000003449,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,green,1,down,1,11,27,14,,,,,,,,104.03857189999962,104.03857189999962,down,1,0.3661541000001307,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,yellow,0,up,1,12,28,7,,,,,,,,104.92209029999958,104.92209029999958,down,0,1.4944792999995116,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,blue,0,right,1,13,29,11,,,,,,,,106.93796440000006,106.93796440000006,up,0,0.7282780999994429,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,red,0,left,1,14,30,5,,,,,,,,108.18763680000029,108.18763680000029,left,1,0.668605199999547,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,green,0,down,1,15,31,9,,,,,,,,109.38740359999974,109.38740359999974,up,0,0.68982860000051,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,red,0,left,2,0,32,15,,,,,,,,110.6038822999999,110.6038822999999,down,0,0.7183373999996547,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
