word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,28.113396499989904,58.1056469999894,58.122440899998765,58.60582159999467,58.60582159999467,58.60582159999467,space,18.271364800006268,,,,,,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
RED,blue,0,right,0,0,0,3,,,,,,,,,77.40332179999677,77.40332179999677,right,1,0.5778485999908298,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
BLUE,green,0,down,0,1,1,4,,,,,,,,,78.50240669999039,78.50240669999039,left,0,0.5220612999983132,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
GREEN,green,1,down,0,2,2,14,,,,,,,,,79.55380309998873,79.55380309998873,down,1,0.7596739000000525,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
YELLOW,yellow,1,up,0,3,3,8,,,,,,,,,80.83533969998825,80.83533969998825,down,0,0.8688239000039175,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
RED,yellow,0,up,0,4,4,2,,,,,,,,,82.23560519999592,82.23560519999592,up,1,0.5221929999970598,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
BLUE,yellow,0,up,0,5,5,7,,,,,,,,,83.28512390000105,83.28512390000105,left,0,0.548228299987386,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
GREEN,yellow,0,up,0,6,6,12,,,,,,,,,84.35153599998739,84.35153599998739,down,0,0.856120500000543,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
RED,red,1,left,0,7,7,0,,,,,,,,,85.7347035999992,85.7347035999992,right,0,2.5235236000007717,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
YELLOW,green,0,down,0,8,8,9,,,,,,,,,88.7844127999997,88.7844127999997,down,1,1.7605009999970207,,,,,,,,001,avni_1,2023-04-14_15h43.50.575,strooptest,2022.2.5,59.848487571741614,
