word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,text.stopped,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.908697100006975,49.897670799997286,49.913558800006285,50.39705430000322,50.39705430000322,50.39705430000322,space,3.7869546999863815,,,,,,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,yellow,1,up,0,0,0,8,,,,,,,,,54.71296380000422,54.71296380000422,up,1,1.020063799995114,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,blue,0,right,0,1,1,3,,,,,,,,,56.26255179999862,56.26255179999862,right,1,0.7537720999971498,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,green,0,down,0,2,2,9,,,,,,,,,57.52912390000711,57.52912390000711,down,1,0.6402916999941226,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,yellow,0,up,0,3,3,2,,,,,,,,,58.69567719999759,58.69567719999759,left,0,0.5648271999962162,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,blue,0,right,0,4,4,13,,,,,,,,,59.77886820001004,59.77886820001004,right,1,0.8888506999937817,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
BLUE,blue,1,right,0,5,5,6,,,,,,,,,61.195271300006425,61.195271300006425,right,1,0.5666887999977916,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,yellow,0,up,0,6,6,12,,,,,,,,,62.27844439999899,62.27844439999899,up,1,0.6059341999934986,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,green,0,down,0,7,7,1,,,,,,,,,63.394877700004145,63.394877700004145,down,1,0.8784519999899203,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,red,0,left,0,8,8,10,,,,,,,,,64.79476240000804,64.79476240000804,left,1,0.6341351000010036,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
BLUE,yellow,0,up,0,9,9,7,,,,,,,,,65.9616348999989,65.9616348999989,up,1,0.6003961000096751,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
BLUE,red,0,left,0,10,10,5,,,,,,,,,67.09443850000389,67.09443850000389,left,1,0.5961548000050243,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,red,0,left,0,11,11,15,,,,,,,,,68.19415530000697,68.19415530000697,left,1,0.38055489999533165,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
BLUE,green,0,down,0,12,12,4,,,,,,,,,69.09391940000933,69.09391940000933,down,1,0.48494309998932295,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,red,1,left,0,13,13,0,,,,,,,,,70.11047030000191,70.11047030000191,left,1,0.5271286999923177,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,green,1,down,0,14,14,14,,,,,,,,,71.16019910000614,71.16019910000614,down,1,0.7142215000058059,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,blue,0,right,0,15,15,11,,,,,,,,,72.39342890000262,72.39342890000262,right,1,0.628136600003927,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
BLUE,yellow,0,up,1,0,16,7,,,,,,,,,73.5435615000024,73.5435615000024,up,1,0.4435046999860788,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,green,0,down,1,1,17,9,,,,,,,,,74.50976739999896,74.50976739999896,down,1,0.43265069999324623,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,yellow,0,up,1,2,18,2,,,,,,,,,75.45953439999721,75.45953439999721,up,1,0.46310860000085086,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,red,1,left,1,3,19,0,,,,,,,,,76.44277220001095,76.44277220001095,left,1,0.3896756999893114,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,green,0,down,1,4,20,1,,,,,,,,,77.3593383999978,77.3593383999978,down,1,0.7134972999920137,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,red,0,left,1,5,21,10,,,,,,,,,78.59251810000569,78.59251810000569,left,1,0.4513579999911599,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,yellow,1,up,1,6,22,8,,,,,,,,,79.57559829999809,79.57559829999809,up,1,0.5396535000036238,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,yellow,0,up,1,7,23,12,,,,,,,,,80.64235660000122,80.64235660000122,up,1,1.7797540000028675,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,blue,0,right,1,8,24,3,,,,,,,,,82.94179389999772,82.94179389999772,right,1,0.8306062999909045,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,red,0,left,1,9,25,15,,,,,,,,,84.29161359999853,84.29161359999853,left,1,0.6005029000079958,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,blue,0,right,1,10,26,13,,,,,,,,,85.42477779999899,85.42477779999899,up,0,1.8105594999942696,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
BLUE,red,0,left,1,11,27,5,,,,,,,,,87.7576662000065,87.7576662000065,left,1,0.7116583000024548,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
BLUE,green,0,down,1,12,28,4,,,,,,,,,88.99076390000118,88.99076390000118,down,1,1.1965709000069182,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
BLUE,blue,1,right,1,13,29,6,,,,,,,,,90.7071236000047,90.7071236000047,right,1,1.2148807999910787,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,blue,0,right,1,14,30,11,,,,,,,,,92.4402667000104,92.4402667000104,right,1,0.5737460999953328,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,green,1,down,1,15,31,14,,,,,,,,,93.54012859999784,93.54012859999784,down,1,1.4671747999964282,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,yellow,0,up,2,0,32,12,,,,,,,,,95.53982460001134,95.53982460001134,up,1,0.531030500002089,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,green,0,down,2,1,33,9,,,,,,,,,96.57296950000455,96.57296950000455,down,1,0.7842848000000231,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,blue,0,right,2,2,34,3,,,,,,,,,97.88940480000747,97.88940480000747,left,0,0.7395449999894481,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
GREEN,blue,0,right,2,3,35,13,,,,,,,,,99.15582290000748,99.15582290000748,right,1,0.8326322999928379,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
BLUE,green,0,down,2,4,36,4,,,,,,,,,100.50578960000712,100.50578960000712,down,1,0.8911148999904981,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
YELLOW,yellow,1,up,2,5,37,8,,,,,,,,,101.9225723999989,101.9225723999989,up,1,0.6724911999917822,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
RED,yellow,0,up,2,6,38,2,,,,,,,,,103.12195520001114,103.12195520001114,down,0,0.9456217999977525,,,,,,,,001,Heidi_4,2023-04-14_14h57.51.458,strooptest,2022.2.5,59.92613504509299,
