word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,text.stopped,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,17.230028799996944,47.22675129999698,47.24331340000208,47.726977900005295,47.726977900005295,47.726977900005295,space,2.1518460999941453,,,,,,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
GREEN,blue,0,right,0,0,0,13,,,,,,,,,50.392947799991816,50.392947799991816,right,1,0.6680153999914182,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
BLUE,green,0,down,0,1,1,4,,,,,,,,,51.59270809999725,51.59270809999725,up,0,0.49506869999459013,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
YELLOW,red,0,left,0,2,2,10,,,,,,,,,52.60976029999438,52.60976029999438,left,1,0.556422499998007,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
RED,blue,0,right,0,3,3,3,,,,,,,,,53.69289969999227,53.69289969999227,right,1,0.5674197000043932,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
RED,yellow,0,up,0,4,4,2,,,,,,,,,54.79232019999472,54.79232019999472,left,0,0.7763998000009451,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
BLUE,yellow,0,up,0,5,5,7,,,,,,,,,56.09213809999346,56.09213809999346,up,1,0.50240230000054,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
GREEN,yellow,0,up,0,6,6,12,,,,,,,,,57.12522220000392,57.12522220000392,up,1,0.47922389999439474,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
RED,green,0,down,0,7,7,1,,,,,,,,,58.12505980000424,58.12505980000424,down,1,0.7918081999960123,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
GREEN,red,0,left,0,8,8,15,,,,,,,,,59.44153759999608,59.44153759999608,left,1,0.5072832000005292,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
GREEN,green,1,down,0,9,9,14,,,,,,,,,60.47501559999364,60.47501559999364,down,1,0.8762430000060704,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
