word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,text.stopped,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.317280999996,50.313745599996764,50.330321699992055,50.81393940000271,50.81393940000271,50.81393940000271,space,19.877393600007053,,,,,,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
RED,green,0,down,0,0,0,1,,,,,,,,,71.21045189999859,71.21045189999859,down,1,1.316983299999265,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
GREEN,blue,0,right,0,1,1,13,,,,,,,,,73.06014940000023,73.06014940000023,left,0,1.4170968999969773,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
BLUE,blue,1,right,0,2,2,6,,,,,,,,,75.00982239999576,75.00982239999576,left,0,1.340215200005332,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
YELLOW,blue,0,right,0,3,3,11,,,,,,,,,76.87619729999278,76.87619729999278,right,1,2.123449899998377,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
RED,blue,0,right,0,4,4,3,,,,,,,,,79.5260755999916,79.5260755999916,right,1,1.3334580999944592,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
BLUE,red,0,left,0,5,5,5,,,,,,,,,81.39217179999105,81.39217179999105,left,1,1.2484017000097083,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
YELLOW,green,0,down,0,6,6,9,,,,,,,,,83.15854930000205,83.15854930000205,down,1,1.3052540000062436,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
RED,yellow,0,up,0,7,7,2,,,,,,,,,84.9915583999973,84.9915583999973,up,1,1.191670600004727,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
GREEN,green,1,down,0,8,8,14,,,,,,,,,86.7080011999933,86.7080011999933,down,1,2.061124200001359,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
GREEN,yellow,0,up,0,9,9,12,,,,,,,,,89.29080329999852,89.29080329999852,up,1,1.567025600001216,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
YELLOW,red,0,left,0,10,10,10,,,,,,,,,91.37390959999175,91.37390959999175,left,1,1.21221169999626,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
RED,red,1,left,0,11,11,0,,,,,,,,,93.10696099999768,93.10696099999768,left,1,0.7900192000088282,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
BLUE,green,0,down,0,12,12,4,,,,,,,,,94.42342549999012,94.42342549999012,down,1,2.3180416999966837,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
BLUE,yellow,0,up,0,13,13,7,,,,,,,,,97.27325889999338,97.27325889999338,right,0,1.5514144000044325,,,,,,,,,001,Heidi,2023-04-14_14h47.30.338,strooptest,2022.2.5,59.91346099884915,
