word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,text.stopped,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,18.716099899960682,48.703008499986026,48.71938479994424,49.203265099960845,49.203265099960845,49.203265099960845,space,10.015646200045012,,,,,,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,yellow,0,up,0,0,0,12,,,,,,,,,59.73462899995502,59.73462899995502,up,1,0.9185231999726966,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,yellow,0,up,0,1,1,2,,,,,,,,,61.18420530000003,61.18420530000003,up,1,0.35117300000274554,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,blue,0,right,0,2,2,3,,,,,,,,,62.05110259994399,62.05110259994399,left,0,0.508882199996151,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,blue,0,right,0,3,3,13,,,,,,,,,63.084037599968724,63.084037599968724,right,1,0.5263218000181951,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,green,0,down,0,4,4,1,,,,,,,,,64.13381429994479,64.13381429994479,down,1,0.7091679999721237,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,red,0,left,0,5,5,5,,,,,,,,,65.36688029998913,65.36688029998913,left,1,0.4624858000315726,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,yellow,0,up,0,6,6,7,,,,,,,,,66.35010499996133,66.35010499996133,up,1,0.677322399977129,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,blue,0,right,0,7,7,11,,,,,,,,,67.55001969996374,67.55001969996374,right,1,0.5454240999533795,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,red,0,left,0,8,8,15,,,,,,,,,68.61657319997903,68.61657319997903,left,1,0.4427379000117071,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,yellow,1,up,0,9,9,8,,,,,,,,,69.56652599998051,69.56652599998051,up,1,0.472706799977459,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,green,1,down,0,10,10,14,,,,,,,,,70.56620449997718,70.56620449997718,down,1,0.4453936000354588,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,blue,1,right,0,11,11,6,,,,,,,,,71.53272219997598,71.53272219997598,right,1,0.4973704000003636,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,green,0,down,0,12,12,9,,,,,,,,,72.54943649994675,72.54943649994675,down,1,0.8972053999896161,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,red,0,left,0,13,13,10,,,,,,,,,73.96554779994767,73.96554779994767,left,1,0.49061670002993196,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,red,1,left,0,14,14,0,,,,,,,,,74.98213159997249,74.98213159997249,left,1,0.5305168000049889,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,green,0,down,0,15,15,4,,,,,,,,,76.032284899964,76.032284899964,down,1,1.2052607999648899,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,red,0,left,1,0,16,5,,,,,,,,,77.76500699995086,77.76500699995086,left,1,0.5807891999720596,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,blue,1,right,1,1,17,6,,,,,,,,,78.86490389995743,78.86490389995743,right,1,0.4347587000229396,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,yellow,0,up,1,2,18,2,,,,,,,,,79.83129939995706,79.83129939995706,left,0,0.4395228999783285,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,green,0,down,1,3,19,1,,,,,,,,,80.79799159994582,80.79799159994582,left,0,1.6422977999900468,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,yellow,0,up,1,4,20,12,,,,,,,,,82.9642090999987,82.9642090999987,up,1,0.946503399987705,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,blue,0,right,1,5,21,11,,,,,,,,,84.43092579999939,84.43092579999939,right,1,0.7302989999880083,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,green,0,down,1,6,22,4,,,,,,,,,85.68050489999587,85.68050489999587,down,1,0.7003910999628715,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,blue,0,right,1,7,23,13,,,,,,,,,86.89676919998601,86.89676919998601,right,1,0.8608583000022918,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,red,0,left,1,8,24,10,,,,,,,,,88.28020519996062,88.28020519996062,left,1,0.5504165000165813,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,red,0,left,1,9,25,15,,,,,,,,,89.34622789995046,89.34622789995046,left,1,0.4716015000012703,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,green,1,down,1,10,26,14,,,,,,,,,90.34624319995055,90.34624319995055,down,1,0.9712549000396393,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,green,0,down,1,11,27,9,,,,,,,,,91.846088899998,91.846088899998,down,1,0.38087749999249354,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,yellow,0,up,1,12,28,7,,,,,,,,,92.7468235999695,92.7468235999695,up,1,0.5808419999666512,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,blue,0,right,1,13,29,3,,,,,,,,,93.82895399996778,93.82895399996778,right,1,0.5839112999965437,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,yellow,1,up,1,14,30,8,,,,,,,,,94.94570319994818,94.94570319994818,up,1,0.6105144000030123,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,red,1,left,1,15,31,0,,,,,,,,,96.07872339995811,96.07872339995811,left,1,0.564737300039269,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,red,0,left,2,0,32,5,,,,,,,,,97.14510219998192,97.14510219998192,left,1,0.44114980002632365,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,green,1,down,2,1,33,14,,,,,,,,,98.11181639996357,98.11181639996357,down,1,0.6351930000237189,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,green,0,down,2,2,34,4,,,,,,,,,99.27825169998687,99.27825169998687,down,1,0.3010968000162393,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,red,1,left,2,3,35,0,,,,,,,,,100.11144659999991,100.11144659999991,left,1,0.49375480000162497,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,red,0,left,2,4,36,10,,,,,,,,,101.12795119994553,101.12795119994553,left,1,0.5610047999653034,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,yellow,0,up,2,5,37,7,,,,,,,,,102.21100669994485,102.21100669994485,up,1,0.48679419996915385,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
BLUE,blue,1,right,2,6,38,6,,,,,,,,,103.2278273999691,103.2278273999691,down,0,0.5042350000003353,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,green,0,down,2,7,39,9,,,,,,,,,104.26127819996327,104.26127819996327,down,1,2.0804194000083953,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
GREEN,blue,0,right,2,8,40,13,,,,,,,,,106.86073169996962,106.86073169996962,right,1,0.6476036999956705,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,blue,0,right,2,9,41,3,,,,,,,,,108.0272135999985,108.0272135999985,right,1,0.35474039998371154,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
YELLOW,blue,0,right,2,10,42,11,,,,,,,,,108.91023270000005,108.91023270000005,right,1,0.3491766999941319,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,yellow,0,up,2,11,43,2,,,,,,,,,109.75984829996014,109.75984829996014,left,0,0.3746186000062153,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
RED,green,0,down,2,12,44,1,,,,,,,,,110.66005519998726,110.66005519998726,down,1,1.1617442999850027,,,,,,,,,001,nabeha03,2023-04-18_19h26.48.835,strooptest,2022.2.5,60.03132433895928,
