word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,text.stopped,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,24.938519799965434,54.928753299987875,54.94453019998036,55.42830249998951,55.42830249998951,55.42830249998951,space,18.32478630001424,,,,,,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
YELLOW,blue,0,right,0,0,0,11,,,,,,,,,74.27472549997037,74.27472549997037,right,1,0.5013402999611571,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
YELLOW,yellow,1,up,0,1,1,8,,,,,,,,,75.30791370000225,75.30791370000225,up,1,0.6434876000275835,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
YELLOW,green,0,down,0,2,2,9,,,,,,,,,76.47454709996236,76.47454709996236,down,1,0.5218423000187613,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
RED,green,0,down,0,3,3,1,,,,,,,,,77.52412809996167,77.52412809996167,down,1,0.5592570999870077,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
GREEN,blue,0,right,0,4,4,13,,,,,,,,,78.60769259999506,78.60769259999506,right,1,0.4307008000323549,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
GREEN,red,0,left,0,5,5,15,,,,,,,,,79.54007839999394,79.54007839999394,left,1,0.45372620003763586,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
BLUE,green,0,down,0,6,6,4,,,,,,,,,80.52351049997378,80.52351049997378,down,1,0.609499300015159,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
BLUE,blue,1,right,0,7,7,6,,,,,,,,,81.65703239996219,81.65703239996219,right,1,0.5814617999712937,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
RED,yellow,0,up,0,8,8,2,,,,,,,,,82.75715929997386,82.75715929997386,up,1,0.6884856999968179,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
GREEN,green,1,down,0,9,9,14,,,,,,,,,83.97323989996221,83.97323989996221,down,1,0.7430858999723569,,,,,,,,,001,nabeha04pt2,2023-04-18_19h36.58.428,strooptest,2022.2.5,60.06976503885641,
