word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,text.stopped,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,22.653181400033645,52.63701790000778,52.65435490000527,53.13823390001198,53.13823390001198,53.13823390001198,space,15.555553099955432,,,,,,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
BLUE,green,0,down,0,0,0,4,,,,,,,,,69.21822810004232,69.21822810004232,down,1,1.5885875999811105,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
GREEN,green,1,down,0,1,1,14,,,,,,,,,71.33487900003092,71.33487900003092,down,1,1.2039934999775141,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
BLUE,blue,1,right,0,2,2,6,,,,,,,,,73.06782860000385,73.06782860000385,right,1,1.0009704999392852,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
RED,green,0,down,0,3,3,1,,,,,,,,,74.5851202000049,74.5851202000049,down,1,0.6999935999047011,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
GREEN,red,0,left,0,4,4,15,,,,,,,,,75.80225770000834,75.80225770000834,left,1,0.7438171999529004,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
YELLOW,red,0,left,0,5,5,10,,,,,,,,,77.06709870003397,77.06709870003397,left,1,0.5361263999366201,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
GREEN,yellow,0,up,0,6,6,12,,,,,,,,,78.13363430002937,78.13363430002937,up,1,0.7535922999959439,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
BLUE,yellow,0,up,0,7,7,7,,,,,,,,,79.41676080005709,79.41676080005709,up,1,0.7837032999377698,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
BLUE,red,0,left,0,8,8,5,,,,,,,,,80.7163454000256,80.7163454000256,left,1,1.025554799940437,,,,,,,,,001,nabeha_01,2023-04-18_19h02.08.986,strooptest,2022.2.5,60.628070437032946,
